imgId,file,origResolution,infiPredPerson,infiProbPerson,gtPerson,infiCorrect,infiType,yoloModel,latencyMs,prepMs,totalMs,deadlineMiss,stateName,snapshotCpu,snapshotTemp,snapshotFreqs,preprocessMode
203864,000000203864.jpg,640x491,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,111.00,0,224.75,0,Idle,9.06,33.00,,fused
146155,000000146155.jpg,640x512,1,1.000000,1,1,TP,yolov8l_bsz4.ms,117.25,122.50,0,239.75,0,Idle,4.84,34.00,,fused
491090,000000491090.jpg,478x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,117.25,122.50,0,239.75,0,Idle,4.84,34.00,,fused
11699,000000011699.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,117.25,122.50,0,239.75,0,Idle,4.84,34.00,,fused
271402,000000271402.jpg,424x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,117.25,122.50,0,239.75,0,Idle,4.84,34.00,,fused
406129,000000406129.jpg,428x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,108.25,0,221.25,0,Idle,5.14,34.00,,fused
457559,000000457559.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,108.25,0,221.25,0,Idle,5.14,34.00,,fused
142238,000000142238.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,108.25,0,221.25,0,Idle,5.14,34.00,,fused
479953,000000479953.jpg,640x393,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,108.25,0,221.25,0,Idle,5.14,34.00,,fused
273760,000000273760.jpg,467x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,116.00,132.25,0,248.25,0,Idle,5.10,34.00,,fused
382009,000000382009.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,116.00,132.25,0,248.25,0,Idle,5.10,34.00,,fused
75612,000000075612.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,116.00,132.25,0,248.25,0,Idle,5.10,34.00,,fused
383842,000000383842.jpg,640x434,1,1.000000,1,1,TP,yolov8l_bsz4.ms,116.00,132.25,0,248.25,0,Idle,5.10,34.00,,fused
463918,000000463918.jpg,500x359,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,109.75,0,224.25,0,Idle,5.13,34.00,,fused
400794,000000400794.jpg,426x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,109.75,0,224.25,0,Idle,5.13,34.00,,fused
144003,000000144003.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,109.75,0,224.25,0,Idle,5.13,34.00,,fused
477288,000000477288.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,109.75,0,224.25,0,Idle,5.13,34.00,,fused
482800,000000482800.jpg,640x457,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,109.50,0,222.50,0,Idle,5.13,34.00,,fused
479126,000000479126.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,109.50,0,222.50,0,Idle,5.13,34.00,,fused
162732,000000162732.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,109.50,0,222.50,0,Idle,5.13,34.00,,fused
516318,000000516318.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,109.50,0,222.50,0,Idle,5.13,34.00,,fused
209530,000000209530.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,105.25,0,219.75,0,Idle,5.24,34.00,,fused
266892,000000266892.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,105.25,0,219.75,0,Idle,5.24,34.00,,fused
515828,000000515828.jpg,640x429,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,105.25,0,219.75,0,Idle,5.24,34.00,,fused
429761,000000429761.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,105.25,0,219.75,0,Idle,5.24,34.00,,fused
116068,000000116068.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,116.75,0,231.75,0,Idle,5.22,34.00,,fused
546475,000000546475.jpg,383x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,116.75,0,231.75,0,Idle,5.22,34.00,,fused
177489,000000177489.jpg,640x478,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,116.75,0,231.75,0,Idle,5.22,34.00,,fused
568213,000000568213.jpg,500x325,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.00,116.75,0,231.75,0,Idle,5.22,34.00,,fused
350679,000000350679.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,123.50,0,237.50,0,Idle,5.22,34.00,,fused
376093,000000376093.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,123.50,0,237.50,0,Idle,5.22,34.00,,fused
25386,000000025386.jpg,427x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,123.50,0,237.50,0,Idle,5.22,34.00,,fused
338905,000000338905.jpg,480x360,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,123.50,0,237.50,0,Idle,5.22,34.00,,fused
32334,000000032334.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,127.75,0,240.50,0,Idle,5.23,34.00,,fused
438907,000000438907.jpg,458x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,127.75,0,240.50,0,Idle,5.23,34.00,,fused
471893,000000471893.jpg,640x442,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,127.75,0,240.50,0,Idle,5.23,34.00,,fused
189475,000000189475.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,127.75,0,240.50,0,Idle,5.23,34.00,,fused
271116,000000271116.jpg,640x424,1,1.000000,1,1,TP,yolov8l_bsz4.ms,120.75,107.50,0,228.25,0,Idle,5.23,34.00,,fused
48396,000000048396.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,120.75,107.50,0,228.25,0,Idle,5.23,34.00,,fused
274460,000000274460.jpg,640x454,1,1.000000,1,1,TP,yolov8l_bsz4.ms,120.75,107.50,0,228.25,0,Idle,5.23,34.00,,fused
274066,000000274066.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,120.75,107.50,0,228.25,0,Idle,5.23,34.00,,fused
146667,000000146667.jpg,640x539,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,111.25,0,225.00,0,Idle,5.25,34.00,,fused
242946,000000242946.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,111.25,0,225.00,0,Idle,5.25,34.00,,fused
135604,000000135604.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,111.25,0,225.00,0,Idle,5.25,34.00,,fused
225405,000000225405.jpg,640x471,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.75,111.25,0,225.00,0,Idle,5.25,34.00,,fused
231879,000000231879.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,100.50,0,214.00,0,Idle,4.41,34.00,,fused
18491,000000018491.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,100.50,0,214.00,0,Idle,4.41,34.00,,fused
393056,000000393056.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,100.50,0,214.00,0,Idle,4.41,34.00,,fused
281409,000000281409.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.50,100.50,0,214.00,0,Idle,4.41,34.00,,fused
484351,000000484351.jpg,640x426,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,107.00,0,221.00,0,Idle,4.63,34.00,,fused
412362,000000412362.jpg,640x499,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,107.00,0,221.00,0,Idle,4.63,34.00,,fused
25096,000000025096.jpg,375x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,107.00,0,221.00,0,Idle,4.63,34.00,,fused
261036,000000261036.jpg,333x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,107.00,0,221.00,0,Idle,4.63,34.00,,fused
451879,000000451879.jpg,500x438,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,101.50,0,215.75,0,Idle,4.85,34.00,,fused
485480,000000485480.jpg,640x281,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,101.50,0,215.75,0,Idle,4.85,34.00,,fused
318138,000000318138.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,101.50,0,215.75,0,Idle,4.85,34.00,,fused
323496,000000323496.jpg,500x398,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,101.50,0,215.75,0,Idle,4.85,34.00,,fused
170955,000000170955.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,120.00,0,234.00,0,Idle,4.88,34.00,,fused
100238,000000100238.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,120.00,0,234.00,0,Idle,4.88,34.00,,fused
493905,000000493905.jpg,571x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,120.00,0,234.00,0,Idle,4.88,34.00,,fused
416451,000000416451.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.00,120.00,0,234.00,0,Idle,4.88,34.00,,fused
447088,000000447088.jpg,500x333,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.75,110.75,0,222.50,0,Idle,4.88,34.00,,fused
470924,000000470924.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.75,110.75,0,222.50,0,Idle,4.88,34.00,,fused
463618,000000463618.jpg,640x451,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.75,110.75,0,222.50,0,Idle,4.88,34.00,,fused
523957,000000523957.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,111.75,110.75,0,222.50,0,Idle,4.88,34.00,,fused
84674,000000084674.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,116.75,0,231.25,0,Idle,4.80,34.00,,fused
246883,000000246883.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,116.75,0,231.25,0,Idle,4.80,34.00,,fused
571598,000000571598.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,116.75,0,231.25,0,Idle,4.80,34.00,,fused
275749,000000275749.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,116.75,0,231.25,0,Idle,4.80,34.00,,fused
371552,000000371552.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,111.50,0,226.00,0,Idle,4.86,34.00,,fused
509451,000000509451.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,111.50,0,226.00,0,Idle,4.86,34.00,,fused
309964,000000309964.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,111.50,0,226.00,0,Idle,4.86,34.00,,fused
53626,000000053626.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,111.50,0,226.00,0,Idle,4.86,34.00,,fused
568195,000000568195.jpg,427x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,116.00,121.75,0,237.75,0,Idle,4.89,34.00,,fused
373382,000000373382.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,116.00,121.75,0,237.75,0,Idle,4.89,34.00,,fused
304404,000000304404.jpg,640x428,1,1.000000,1,1,TP,yolov8l_bsz4.ms,116.00,121.75,0,237.75,0,Idle,4.89,34.00,,fused
397354,000000397354.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,116.00,121.75,0,237.75,0,Idle,4.89,34.00,,fused
44279,000000044279.jpg,640x425,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,107.25,0,220.25,0,Idle,7.84,34.00,,fused
513567,000000513567.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,107.25,0,220.25,0,Idle,7.84,34.00,,fused
33221,000000033221.jpg,500x333,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,107.25,0,220.25,0,Idle,7.84,34.00,,fused
237071,000000237071.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,107.25,0,220.25,0,Idle,7.84,34.00,,fused
85772,000000085772.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,105.50,0,218.25,0,Idle,5.05,34.00,,fused
474021,000000474021.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,105.50,0,218.25,0,Idle,5.05,34.00,,fused
203629,000000203629.jpg,640x427,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,105.50,0,218.25,0,Idle,5.05,34.00,,fused
276018,000000276018.jpg,416x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,112.75,105.50,0,218.25,0,Idle,5.05,34.00,,fused
275198,000000275198.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,122.75,0,237.00,0,Idle,5.50,34.00,,fused
153797,000000153797.jpg,500x400,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,122.75,0,237.00,0,Idle,5.50,34.00,,fused
296222,000000296222.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,122.75,0,237.00,0,Idle,5.50,34.00,,fused
382125,000000382125.jpg,640x480,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.25,122.75,0,237.00,0,Idle,5.50,34.00,,fused
213171,000000213171.jpg,375x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,131.50,0,244.50,0,Idle,5.27,34.00,,fused
468332,000000468332.jpg,640x424,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,131.50,0,244.50,0,Idle,5.27,34.00,,fused
182923,000000182923.jpg,375x500,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,131.50,0,244.50,0,Idle,5.27,34.00,,fused
578871,000000578871.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,113.00,131.50,0,244.50,0,Idle,5.27,34.00,,fused
442161,000000442161.jpg,500x375,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,115.75,0,230.25,0,Idle,5.32,34.00,,fused
92416,000000092416.jpg,480x640,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,115.75,0,230.25,0,Idle,5.32,34.00,,fused
529122,000000529122.jpg,500x281,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,115.75,0,230.25,0,Idle,5.32,34.00,,fused
447917,000000447917.jpg,640x362,1,1.000000,1,1,TP,yolov8l_bsz4.ms,114.50,115.75,0,230.25,0,Idle,5.32,34.00,,fused
245026,000000245026.jpg,640x424,1,1.000000,1,1,TP,yolov8l_bsz4.ms,115.50,111.75,0,227.25,0,Idle,5.32,34.00,,fused
